Step:,1,2,3,4,5,6,7,8,
X-moves
1,3.645,2.6512,6.959,14.8304,13.4178,16.411,0.0,29.8288,
2,9.8951,5.2724,16.4191,34.3922,31.3257,36.5386,0.0,67.8643,
3,13.3562,6.0843,21.7496,43.5754,39.9418,45.6192,0.0,85.561,
4,14.6939,6.3778,23.8792,47.3173,42.7046,49.3048,0.0,92.0094,
5,15.5427,6.5525,25.1582,49.1573,44.4098,51.1529,0.0,95.5627,
6,15.8166,6.7054,25.737,50.7546,45.1916,52.7623,0.0,97.9539,
7,16.0654,6.7294,26.1316,51.4537,45.6324,53.4567,0.0,99.0891,
8,16.2261,6.7939,26.315,51.7886,45.9428,53.7767,0.0,99.7195,
9,16.331,6.7623,26.5256,52.1249,46.1626,54.1301,0.0,100.2927,
10,16.4528,6.8233,26.7228,52.3119,46.2988,54.3052,0.0,100.604,
11,16.4394,6.8305,26.8245,52.4584,46.4349,54.4668,0.0,100.9017,
12,16.3884,6.7996,26.6204,52.6763,46.1828,54.6575,0.0,100.8403,
13,16.4606,6.8494,26.7644,52.9466,46.3366,54.9433,0.0,101.2799,
14,16.484,6.8486,26.8801,52.8942,46.4829,54.8927,0.0,101.3756,
15,16.5599,6.8201,26.9896,52.9151,46.5696,54.9304,0.0,101.5,
16,16.4751,6.8827,26.8985,53.0719,46.4273,55.0913,0.0,101.5186,
17,16.4724,6.8477,26.8566,52.9641,46.468,54.9703,0.0,101.4383,
18,16.5359,6.8533,26.8958,53.1679,46.5634,55.1695,0.0,101.7329,
19,16.5585,6.8397,27.0021,53.0153,46.6125,55.0144,0.0,101.6269,
20,16.4992,6.8497,26.9223,53.0293,46.5427,55.039,0.0,101.5817,
21,16.5415,6.8535,26.9752,53.2137,46.6524,55.2027,0.0,101.8551,
22,16.4188,6.8528,26.8175,52.977,46.4321,54.9694,0.0,101.4015,
23,16.4522,6.8657,26.8562,53.2605,46.5086,55.2409,0.0,101.7495,
24,16.5436,6.8343,27.0213,53.0197,46.6563,55.0085,0.0,101.6648,
25,16.4429,6.8474,26.8967,53.1734,46.6177,55.1856,0.0,101.8033,
26,16.4994,6.8283,26.9051,53.084,46.4357,55.0792,0.0,101.5149,
27,16.532,6.8467,26.9749,52.9842,46.5895,54.975,0.0,101.5645,
28,16.3942,6.8509,26.8275,53.127,46.4367,55.1174,0.0,101.5541,
29,16.5016,6.8662,26.9303,53.043,46.4805,55.0558,0.0,101.5363,
30,16.4698,6.8191,26.8675,53.2291,46.2805,55.2327,0.0,101.5132,
31,16.5064,6.8808,26.922,53.1897,46.4668,55.1886,0.0,101.6554,
32,16.5165,6.8436,26.8946,53.1821,46.592,55.1768,0.0,101.7688,
33,16.5215,6.8389,26.8988,53.1199,46.5244,55.13,0.0,101.6544,
34,16.396,6.8777,26.8505,53.1874,46.2893,55.1939,0.0,101.4832,
35,16.5876,6.8614,26.9128,53.1406,46.5002,55.1636,0.0,101.6638,
36,16.4858,6.8812,26.9393,53.243,46.4301,55.2342,0.0,101.6643,
37,16.3694,6.8526,26.7415,53.2363,46.4455,55.2423,0.0,101.6878,
38,16.554,6.8576,26.937,53.1414,46.484,55.1432,0.0,101.6272,
39,16.4669,6.8474,26.806,53.2695,46.232,55.275,0.0,101.507,
40,16.5106,6.8605,26.9665,53.2743,46.5383,55.2628,0.0,101.8011,
